salsh2e49da763586,2013,Land Rover,Range Rover Sport,Supercharged Limited Edition,SUV,automatic,ca,37.0,26757.0,black,gray,jpmorgan chase bank n.a.,61000.0,60000.0,2014-12-18 20:30:00+00:00
wddgf7hb8da872198,2013,Mercedes-Benz,C-Class,C63 AMG,Sedan,automatic,ca,39.0,22514.0,silver,—,mercedes-benz finc wholesale advantage,43600.0,42750.0,2014-12-18 20:30:00+00:00
wp1aa2a26dla06093,2013,Porsche,Cayenne,Base,SUV,automatic,ca,37.0,15746.0,gray,black,the hertz corporation,49300.0,46500.0,2014-12-16 20:30:00+00:00
wp0cb2a99ds155897,2013,Porsche,911,Carrera S,Convertible,automatic,ca,46.0,16868.0,black,black,porsche financial services,80000.0,88500.0,2014-12-18 20:30:00+00:00
wp0cb2a80ds132192,2013,Porsche,Boxster,S,Convertible,automatic,ca,42.0,25019.0,black,black,porsche financial services,48000.0,49500.0,2015-01-15 12:30:00+00:00
wp1ae2a21dla14185,2013,Porsche,Cayenne,S Hybrid,SUV,automatic,ca,38.0,26999.0,black,tan,l m auto wholesale,58000.0,55000.0,2014-12-18 20:30:00+00:00
wp0aa2a73dl016450,2013,Porsche,Panamera,Base,Sedan,automatic,ca,39.0,12379.0,black,black,the hertz corporation,61000.0,59750.0,2014-12-18 20:30:00+00:00
wp0aa2a76dl011405,2013,Porsche,Panamera,Base,Sedan,automatic,ca,41.0,33876.0,white,beige,high bid trading co inc,54000.0,58000.0,2014-12-18 20:00:00+00:00
wp0ca2a81ds112651,2013,Porsche,Boxster,Base,Convertible,automatic,ca,37.0,21938.0,black,black,remarketing by ge/manheim riverside,41200.0,39500.0,2014-12-30 20:00:00+00:00
wbakb8c51cc964387,2012,NaN,NaN,NaN,NaN,automatic,ca,38.0,23208.0,gray,black,financial services remarketing (lease),47200.0,46000.0,2015-02-26 12:30:00+00:00
wbalz3c5xcdl71530,2012,BMW,6 Series,650i,Convertible,automatic,ca,38.0,28925.0,white,black,financial services remarketing (lease),48500.0,50500.0,2014-12-18 20:30:00+00:00
wbalz3c59cdl71275,2012,BMW,6 Series,650i,Convertible,NaN,ca,46.0,16381.0,gray,black,financial services remarketing (lease),48200.0,46500.0,2015-02-12 12:30:00+00:00
wbakb8c53cc964410,2012,NaN,NaN,NaN,NaN,automatic,ca,33.0,19785.0,beige,gray,financial services remarketing (lease),49500.0,46000.0,2015-02-12 12:30:00+00:00
wbalx3c59cdv77170,2012,BMW,6 Series,650i,Coupe,automatic,ca,47.0,34941.0,black,black,financial services remarketing (lease),42600.0,42500.0,2014-12-18 20:30:00+00:00
wbalz3c58cdl73048,2012,BMW,6 Series,650i,Convertible,automatic,ca,48.0,20904.0,gray,black,financial services remarketing (lease),50100.0,49000.0,2015-01-15 12:30:00+00:00
wbalx3c52cc528799,2012,BMW,6 Series,650i,Coupe,automatic,ca,36.0,24452.0,white,brown,l m auto wholesale,44800.0,44000.0,2014-12-18 20:30:00+00:00
wbaka4c51cds99089,2012,BMW,7 Series,740i,Sedan,automatic,ca,43.0,35818.0,black,black,financial services remarketing (lease),35600.0,35250.0,2015-01-15 12:30:00+00:00
wbadx1c56ce570700,2012,BMW,3 Series,335is,Convertible,automatic,ca,38.0,14149.0,black,black,financial services remarketing (lease),39900.0,40500.0,2014-12-18 20:30:00+00:00
wbalz3c5xcdl70913,2012,BMW,6 Series,650i,Convertible,automatic,ca,36.0,24132.0,black,—,financial services remarketing (lease),49700.0,49500.0,2014-12-18 20:30:00+00:00
wbalw3c56cc891870,2012,BMW,6 Series,640i,Coupe,automatic,ca,44.0,39628.0,black,black,financial services remarketing (lease),42200.0,42000.0,2014-12-18 20:30:00+00:00
wbafr7c56cc809633,2012,BMW,5 Series,535i,Sedan,automatic,ca,22.0,28170.0,gray,black,financial services remarketing (lease),35100.0,47000.0,2014-12-18 20:30:00+00:00
wbalz3c54cdl72964,2012,BMW,6 Series,650i,Convertible,automatic,ca,42.0,34780.0,black,tan,financial services remarketing (lease),47000.0,47000.0,2014-12-18 20:30:00+00:00
